Age,Weight,Height,Area,Preference,DietPlan
24,78,180,Jharkhand,Stay Healthy,General Balanced Diet with Local Foods
45,77,164,Manipur,Stay Healthy,General Balanced Diet with Local Foods
25,96,185,Rajasthan,Lose Weight,General Balanced Diet with Local Foods
35,99,157,Bihar,Lose Weight,General Balanced Diet with Local Foods
20,70,167,Haryana,Lose Weight,General Balanced Diet with Local Foods
37,52,151,Kerala,Lose Weight,"Consume Brown Rice, Avial, Cucumber Salad, and Coconut Water"
23,56,154,Tamil Nadu,Lose Weight,"Include Millets Dosa, Sambhar, Coconut Chutney, and Fresh Fruits"
37,84,158,Telangana,Stay Healthy,General Balanced Diet with Local Foods
38,67,169,Manipur,Stay Healthy,General Balanced Diet with Local Foods
21,90,173,Bihar,Stay Healthy,General Balanced Diet with Local Foods
37,67,186,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
37,76,160,Punjab,Lose Weight,"Eat Missi Roti, Dal Tadka, Cucumber Raita, and Lemon Water"
24,52,184,Manipur,Lose Weight,General Balanced Diet with Local Foods
55,60,161,Sikkim,Lose Weight,General Balanced Diet with Local Foods
54,81,164,Sikkim,Lose Weight,General Balanced Diet with Local Foods
24,97,166,Assam,Stay Healthy,General Balanced Diet with Local Foods
23,78,179,Chhattisgarh,Gain Weight,General Balanced Diet with Local Foods
30,80,180,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
46,63,191,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
43,79,187,Himachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
28,78,193,Mizoram,Stay Healthy,General Balanced Diet with Local Foods
42,71,167,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
30,79,159,Kerala,Gain Weight,"Have Puttu with Coconut Milk, Banana Fry, and Fish Curry"
27,92,187,Himachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
49,95,157,Odisha,Gain Weight,General Balanced Diet with Local Foods
38,75,164,Manipur,Stay Healthy,General Balanced Diet with Local Foods
33,79,193,Uttar Pradesh,Stay Healthy,General Balanced Diet with Local Foods
27,90,192,Odisha,Stay Healthy,General Balanced Diet with Local Foods
29,89,178,Goa,Lose Weight,General Balanced Diet with Local Foods
52,61,165,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
51,88,182,Gujarat,Stay Healthy,General Balanced Diet with Local Foods
